CMDLINE python test.py
MEM 4.992188 1691075132.3614
MEM 16.402344 1691075132.4618
MEM 30.613281 1691075132.5622
MEM 44.933594 1691075132.6625
MEM 50.480469 1691075132.7629
MEM 55.882812 1691075132.8633
MEM 63.453125 1691075132.9636
MEM 70.617188 1691075133.0639
MEM 77.542969 1691075133.1643
MEM 85.066406 1691075133.2647
MEM 95.531250 1691075133.3650
MEM 99.398438 1691075133.4654
MEM 107.871094 1691075133.5662
MEM 115.210938 1691075133.6665
MEM 126.726562 1691075133.7668
MEM 134.683594 1691075133.8672
MEM 144.972656 1691075133.9675
MEM 174.121094 1691075134.0679
MEM 181.433594 1691075134.1683
MEM 186.496094 1691075134.2686
MEM 189.859375 1691075134.3689
MEM 197.148438 1691075134.4693
MEM 204.105469 1691075134.5695
MEM 210.558594 1691075134.6698
MEM 229.773438 1691075134.7703
MEM 253.035156 1691075134.8707
MEM 267.265625 1691075134.9711
MEM 278.484375 1691075135.0715
MEM 281.976562 1691075135.1719
MEM 286.355469 1691075135.2724
MEM 287.902344 1691075135.3729
MEM 291.074219 1691075135.4733
MEM 296.437500 1691075135.5737
MEM 297.984375 1691075135.6741
MEM 299.531250 1691075135.7745
MEM 305.718750 1691075135.8749
MEM 307.390625 1691075135.9753
MEM 307.648438 1691075136.0758
MEM 307.906250 1691075136.1763
MEM 307.906250 1691075136.2767
MEM 307.906250 1691075136.3771
MEM 308.222656 1691075136.4775
MEM 311.355469 1691075136.5779
MEM 314.167969 1691075136.6783
MEM 315.824219 1691075136.7787
MEM 317.773438 1691075136.8791
MEM 321.062500 1691075136.9795
MEM 321.632812 1691075137.0800
MEM 321.890625 1691075137.1804
MEM 321.890625 1691075137.2808
MEM 329.617188 1691075137.3815
MEM 329.964844 1691075137.4825
MEM 329.964844 1691075137.5830
MEM 330.222656 1691075137.6836
MEM 332.335938 1691075137.7841
MEM 332.167969 1691075137.8845
MEM 332.167969 1691075137.9849
MEM 332.960938 1691075138.0855
MEM 332.960938 1691075138.1859
MEM 332.960938 1691075138.2862
MEM 332.960938 1691075138.3866
MEM 332.960938 1691075138.4871
MEM 335.144531 1691075138.5876
MEM 335.144531 1691075138.6881
MEM 335.402344 1691075138.7886
MEM 335.402344 1691075138.8891
MEM 337.578125 1691075138.9896
MEM 339.640625 1691075139.0902
MEM 340.671875 1691075139.1907
MEM 343.250000 1691075139.2911
MEM 345.054688 1691075139.3915
MEM 346.085938 1691075139.4920
MEM 346.859375 1691075139.5926
MEM 348.148438 1691075139.6931
MEM 349.437500 1691075139.7934
MEM 350.984375 1691075139.8938
MEM 351.242188 1691075139.9943
MEM 353.046875 1691075140.0949
MEM 354.902344 1691075140.1952
MEM 355.984375 1691075140.2959
MEM 357.015625 1691075140.3965
MEM 357.015625 1691075140.4969
MEM 358.820312 1691075140.5974
MEM 360.367188 1691075140.6979
MEM 361.140625 1691075140.7983
MEM 362.382812 1691075140.8989
MEM 364.445312 1691075140.9993
MEM 366.765625 1691075141.0999
MEM 367.796875 1691075141.2003
MEM 370.117188 1691075141.3007
MEM 371.406250 1691075141.4012
MEM 372.437500 1691075141.5017
MEM 373.984375 1691075141.6021
MEM 375.015625 1691075141.7026
MEM 375.789062 1691075141.8031
MEM 378.109375 1691075141.9035
MEM 379.140625 1691075142.0039
MEM 379.140625 1691075142.1044
MEM 380.687500 1691075142.2049
MEM 380.687500 1691075142.3054
MEM 380.945312 1691075142.4059
MEM 383.777344 1691075142.5064
MEM 384.035156 1691075142.6073
MEM 385.125000 1691075142.7076
MEM 385.671875 1691075142.8081
MEM 385.671875 1691075142.9084
MEM 385.929688 1691075143.0089
MEM 385.929688 1691075143.1093
MEM 386.187500 1691075143.2096
MEM 386.187500 1691075143.3101
MEM 386.187500 1691075143.4104
MEM 386.445312 1691075143.5108
MEM 386.445312 1691075143.6112
MEM 386.445312 1691075143.7116
MEM 386.703125 1691075143.8120
MEM 386.703125 1691075143.9124
MEM 386.703125 1691075144.0127
MEM 386.703125 1691075144.1131
MEM 386.960938 1691075144.2135
MEM 386.960938 1691075144.3139
MEM 386.960938 1691075144.4143
MEM 386.960938 1691075144.5147
