CMDLINE python test.py
MEM 3.597656 1691074542.6475
MEM 11.394531 1691074542.7479
MEM 18.507812 1691074542.8482
MEM 28.000000 1691074542.9486
MEM 35.878906 1691074543.0489
MEM 45.175781 1691074543.1492
MEM 49.878906 1691074543.2495
MEM 55.304688 1691074543.3499
MEM 61.398438 1691074543.4502
MEM 67.882812 1691074543.5505
MEM 74.097656 1691074543.6509
MEM 79.175781 1691074543.7512
MEM 82.960938 1691074543.8516
MEM 89.144531 1691074543.9520
MEM 93.062500 1691074544.0526
MEM 98.218750 1691074544.1529
MEM 103.605469 1691074544.2532
MEM 109.625000 1691074544.3535
MEM 118.277344 1691074544.4539
MEM 125.824219 1691074544.5542
MEM 131.832031 1691074544.6546
MEM 139.871094 1691074544.7549
MEM 152.285156 1691074544.8553
MEM 172.847656 1691074544.9556
MEM 181.988281 1691074545.0559
MEM 185.875000 1691074545.1562
MEM 189.484375 1691074545.2566
MEM 195.230469 1691074545.3569
MEM 201.730469 1691074545.4573
MEM 209.386719 1691074545.5578
MEM 220.015625 1691074545.6582
MEM 241.882812 1691074545.7586
MEM 259.300781 1691074545.8590
MEM 267.617188 1691074545.9593
MEM 278.292969 1691074546.0597
MEM 282.019531 1691074546.1601
MEM 286.398438 1691074546.2605
MEM 287.945312 1691074546.3609
MEM 290.613281 1691074546.4614
MEM 294.929688 1691074546.5619
MEM 301.890625 1691074546.6622
MEM 306.531250 1691074546.7626
MEM 307.511719 1691074546.8631
MEM 307.769531 1691074546.9644
MEM 307.769531 1691074547.0648
MEM 308.277344 1691074547.1652
MEM 309.050781 1691074547.2655
MEM 312.687500 1691074547.3660
MEM 315.527344 1691074547.4664
MEM 317.976562 1691074547.5669
MEM 319.976562 1691074547.6674
MEM 319.851562 1691074547.7686
MEM 320.109375 1691074547.8690
MEM 321.230469 1691074547.9694
MEM 328.125000 1691074548.0700
MEM 328.496094 1691074548.1705
MEM 328.753906 1691074548.2708
MEM 329.785156 1691074548.3712
MEM 330.363281 1691074548.4716
MEM 330.363281 1691074548.5720
MEM 330.363281 1691074548.6724
MEM 331.128906 1691074548.7728
MEM 331.128906 1691074548.8733
MEM 331.128906 1691074548.9737
MEM 331.128906 1691074549.0743
MEM 333.324219 1691074549.1747
MEM 333.324219 1691074549.2751
MEM 333.582031 1691074549.3756
MEM 335.644531 1691074549.4761
MEM 337.191406 1691074549.5766
MEM 338.222656 1691074549.6771
MEM 340.285156 1691074549.7775
MEM 343.121094 1691074549.8782
MEM 343.636719 1691074549.9786
MEM 344.675781 1691074550.0791
MEM 345.449219 1691074550.1796
MEM 347.253906 1691074550.2800
MEM 348.285156 1691074550.3804
MEM 349.316406 1691074550.4807
MEM 349.832031 1691074550.5811
MEM 351.421875 1691074550.6815
MEM 353.105469 1691074550.7819
MEM 354.925781 1691074550.8822
MEM 354.925781 1691074550.9826
MEM 355.699219 1691074551.0830
MEM 356.988281 1691074551.1833
MEM 358.019531 1691074551.2837
MEM 358.792969 1691074551.3841
MEM 359.308594 1691074551.4844
MEM 360.320312 1691074551.5849
MEM 360.578125 1691074551.6853
MEM 361.609375 1691074551.7857
MEM 363.929688 1691074551.8862
MEM 364.960938 1691074551.9866
MEM 366.765625 1691074552.0869
MEM 368.828125 1691074552.1874
MEM 370.117188 1691074552.2877
MEM 370.632812 1691074552.3883
MEM 373.210938 1691074552.4888
MEM 373.468750 1691074552.5893
MEM 375.531250 1691074552.6897
MEM 377.078125 1691074552.7901
MEM 377.078125 1691074552.8908
MEM 378.882812 1691074552.9912
MEM 378.882812 1691074553.0916
MEM 378.882812 1691074553.1920
MEM 381.976562 1691074553.2925
MEM 382.492188 1691074553.3929
MEM 383.523438 1691074553.4933
MEM 383.785156 1691074553.5938
MEM 383.785156 1691074553.6944
MEM 384.042969 1691074553.7948
MEM 384.042969 1691074553.8952
MEM 384.300781 1691074553.9957
MEM 384.300781 1691074554.0961
MEM 384.558594 1691074554.1965
MEM 384.558594 1691074554.2970
MEM 384.558594 1691074554.3974
MEM 384.816406 1691074554.4978
MEM 384.816406 1691074554.5983
MEM 384.816406 1691074554.6987
MEM 385.074219 1691074554.7990
MEM 385.074219 1691074554.8994
MEM 385.074219 1691074554.9999
MEM 385.332031 1691074555.1003
MEM 385.589844 1691074555.2009
MEM 385.589844 1691074555.3015
MEM 385.589844 1691074555.4019
MEM 385.589844 1691074555.5023
MEM 385.589844 1691074555.6028
MEM 385.589844 1691074555.7034
MEM 385.847656 1691074555.8039
MEM 385.847656 1691074555.9044
MEM 385.847656 1691074556.0050
MEM 385.847656 1691074556.1055
MEM 385.847656 1691074556.2059
MEM 385.847656 1691074556.3064
MEM 385.847656 1691074556.4069
MEM 385.847656 1691074556.5074
MEM 385.847656 1691074556.6078
MEM 385.847656 1691074556.7082
MEM 386.105469 1691074556.8086
MEM 386.105469 1691074556.9091
MEM 386.105469 1691074557.0095
MEM 386.105469 1691074557.1098
MEM 386.105469 1691074557.2102
MEM 386.105469 1691074557.3105
MEM 386.105469 1691074557.4109
MEM 386.105469 1691074557.5111
MEM 386.105469 1691074557.6115
MEM 386.105469 1691074557.7118
MEM 386.105469 1691074557.8122
MEM 386.105469 1691074557.9125
MEM 386.105469 1691074558.0131
MEM 386.105469 1691074558.1135
MEM 386.105469 1691074558.2140
MEM 386.105469 1691074558.3144
MEM 386.105469 1691074558.4148
MEM 386.363281 1691074558.5153
MEM 386.363281 1691074558.6159
MEM 386.363281 1691074558.7164
MEM 386.363281 1691074558.8169
MEM 386.363281 1691074558.9174
MEM 386.363281 1691074559.0178
MEM 392.667969 1691074559.1183
MEM 409.750000 1691074559.2190
MEM 414.648438 1691074559.3195
MEM 419.804688 1691074559.4201
MEM 421.351562 1691074559.5206
MEM 423.414062 1691074559.6210
MEM 423.414062 1691074559.7214
MEM 424.703125 1691074559.8219
MEM 425.734375 1691074559.9225
MEM 425.734375 1691074560.0230
MEM 428.312500 1691074560.1235
MEM 429.085938 1691074560.2240
MEM 428.109375 1691074560.3247
MEM 428.109375 1691074560.4252
MEM 428.109375 1691074560.5256
MEM 428.109375 1691074560.6261
MEM 428.109375 1691074560.7266
MEM 428.109375 1691074560.8272
MEM 428.109375 1691074560.9277
MEM 428.109375 1691074561.0282
MEM 428.109375 1691074561.1287
MEM 428.109375 1691074561.2291
MEM 428.109375 1691074561.3296
MEM 428.109375 1691074561.4300
MEM 428.109375 1691074561.5304
MEM 428.109375 1691074561.6309
MEM 428.109375 1691074561.7312
MEM 428.109375 1691074561.8315
MEM 428.109375 1691074561.9320
MEM 428.109375 1691074562.0325
MEM 428.109375 1691074562.1330
MEM 428.109375 1691074562.2334
MEM 428.109375 1691074562.3339
MEM 428.109375 1691074562.4343
MEM 428.109375 1691074562.5349
MEM 428.109375 1691074562.6356
MEM 428.109375 1691074562.7361
MEM 428.109375 1691074562.8364
MEM 428.109375 1691074562.9369
MEM 428.109375 1691074563.0374
MEM 428.109375 1691074563.1385
MEM 428.109375 1691074563.2390
MEM 428.109375 1691074563.3394
MEM 428.109375 1691074563.4400
MEM 428.109375 1691074563.5405
MEM 428.109375 1691074563.6409
MEM 428.109375 1691074563.7414
MEM 428.109375 1691074563.8422
MEM 428.109375 1691074563.9431
MEM 428.109375 1691074564.0437
MEM 428.109375 1691074564.1441
MEM 428.109375 1691074564.2445
MEM 428.109375 1691074564.3449
MEM 428.109375 1691074564.4452
MEM 428.109375 1691074564.5456
MEM 428.109375 1691074564.6459
MEM 428.109375 1691074564.7463
MEM 428.109375 1691074564.8466
MEM 428.109375 1691074564.9470
MEM 428.109375 1691074565.0474
MEM 428.109375 1691074565.1478
MEM 428.109375 1691074565.2482
MEM 428.109375 1691074565.3486
MEM 428.109375 1691074565.4491
MEM 428.109375 1691074565.5495
MEM 428.109375 1691074565.6499
MEM 428.109375 1691074565.7503
MEM 428.109375 1691074565.8506
MEM 428.109375 1691074565.9511
MEM 428.109375 1691074566.0516
MEM 428.109375 1691074566.1520
MEM 428.109375 1691074566.2524
MEM 428.109375 1691074566.3528
MEM 428.109375 1691074566.4534
MEM 428.109375 1691074566.5539
MEM 428.109375 1691074566.6543
MEM 428.109375 1691074566.7547
MEM 428.109375 1691074566.8553
MEM 428.109375 1691074566.9558
MEM 428.109375 1691074567.0563
MEM 428.109375 1691074567.1568
MEM 428.109375 1691074567.2574
MEM 428.109375 1691074567.3579
MEM 428.109375 1691074567.4584
MEM 428.109375 1691074567.5589
MEM 428.109375 1691074567.6594
MEM 428.109375 1691074567.7599
MEM 428.109375 1691074567.8602
MEM 428.109375 1691074567.9606
MEM 428.109375 1691074568.0611
MEM 428.109375 1691074568.1615
MEM 428.109375 1691074568.2623
MEM 428.109375 1691074568.3627
MEM 428.109375 1691074568.4633
MEM 428.109375 1691074568.5637
MEM 428.109375 1691074568.6641
MEM 428.109375 1691074568.7644
MEM 428.109375 1691074568.8648
MEM 428.109375 1691074568.9652
MEM 428.109375 1691074569.0657
MEM 428.109375 1691074569.1661
MEM 428.109375 1691074569.2665
MEM 428.109375 1691074569.3668
MEM 428.109375 1691074569.4674
MEM 428.109375 1691074569.5678
MEM 428.109375 1691074569.6684
MEM 428.109375 1691074569.7688
MEM 428.109375 1691074569.8691
MEM 428.109375 1691074569.9696
MEM 428.109375 1691074570.0701
MEM 428.109375 1691074570.1705
MEM 428.109375 1691074570.2711
MEM 428.109375 1691074570.3716
MEM 428.109375 1691074570.4720
MEM 428.109375 1691074570.5724
MEM 428.109375 1691074570.6729
MEM 428.109375 1691074570.7734
MEM 428.109375 1691074570.8738
MEM 428.109375 1691074570.9742
MEM 428.109375 1691074571.0746
MEM 428.109375 1691074571.1749
MEM 428.109375 1691074571.2752
MEM 428.109375 1691074571.3756
MEM 428.109375 1691074571.4759
MEM 428.109375 1691074571.5763
MEM 428.109375 1691074571.6766
MEM 428.109375 1691074571.7771
MEM 428.109375 1691074571.8775
MEM 428.109375 1691074571.9786
MEM 428.109375 1691074572.0790
MEM 428.109375 1691074572.1794
MEM 428.109375 1691074572.2797
MEM 428.109375 1691074572.3800
MEM 428.109375 1691074572.4804
MEM 428.109375 1691074572.5808
MEM 428.109375 1691074572.6812
MEM 428.109375 1691074572.7817
MEM 428.109375 1691074572.8820
MEM 428.109375 1691074572.9825
MEM 428.109375 1691074573.0830
MEM 428.109375 1691074573.1836
MEM 428.109375 1691074573.2840
MEM 428.109375 1691074573.3850
MEM 428.109375 1691074573.4853
MEM 428.109375 1691074573.5858
MEM 428.109375 1691074573.6862
MEM 428.109375 1691074573.7868
MEM 428.109375 1691074573.8872
MEM 428.109375 1691074573.9876
MEM 428.109375 1691074574.0881
MEM 428.109375 1691074574.1886
MEM 428.109375 1691074574.2891
MEM 428.109375 1691074574.3896
MEM 428.109375 1691074574.4900
MEM 428.109375 1691074574.5905
MEM 428.109375 1691074574.6910
MEM 428.109375 1691074574.7916
MEM 428.109375 1691074574.8922
MEM 428.109375 1691074574.9926
MEM 428.109375 1691074575.0930
MEM 428.109375 1691074575.1935
MEM 428.109375 1691074575.2939
MEM 428.109375 1691074575.3944
MEM 428.109375 1691074575.4949
MEM 428.109375 1691074575.5954
MEM 428.109375 1691074575.6960
MEM 428.109375 1691074575.7964
MEM 428.109375 1691074575.8969
MEM 428.109375 1691074575.9974
MEM 428.109375 1691074576.0978
MEM 428.109375 1691074576.1983
MEM 428.109375 1691074576.2989
MEM 428.109375 1691074576.3993
MEM 428.109375 1691074576.4998
MEM 428.109375 1691074576.6003
MEM 428.109375 1691074576.7007
MEM 428.109375 1691074576.8013
MEM 428.109375 1691074576.9017
MEM 428.109375 1691074577.0021
MEM 428.109375 1691074577.1030
MEM 428.109375 1691074577.2034
MEM 428.109375 1691074577.3042
MEM 428.109375 1691074577.4051
MEM 428.109375 1691074577.5056
MEM 428.109375 1691074577.6059
MEM 428.109375 1691074577.7063
MEM 428.109375 1691074577.8067
MEM 428.109375 1691074577.9070
MEM 428.109375 1691074578.0074
MEM 428.109375 1691074578.1078
MEM 428.109375 1691074578.2081
MEM 428.109375 1691074578.3085
MEM 428.109375 1691074578.4090
MEM 457.679688 1691074578.5095
MEM 457.679688 1691074578.6100
MEM 457.679688 1691074578.7104
MEM 457.679688 1691074578.8108
MEM 457.679688 1691074578.9111
MEM 457.679688 1691074579.0115
MEM 457.679688 1691074579.1118
MEM 457.679688 1691074579.2122
MEM 457.679688 1691074579.3126
MEM 457.679688 1691074579.4130
MEM 457.679688 1691074579.5135
MEM 457.679688 1691074579.6139
MEM 457.679688 1691074579.7144
MEM 457.679688 1691074579.8148
MEM 457.679688 1691074579.9153
MEM 457.679688 1691074580.0157
MEM 457.679688 1691074580.1162
MEM 457.679688 1691074580.2166
MEM 457.679688 1691074580.3170
MEM 457.679688 1691074580.4175
MEM 457.679688 1691074580.5180
MEM 457.679688 1691074580.6185
MEM 457.679688 1691074580.7189
MEM 457.679688 1691074580.8192
MEM 457.679688 1691074580.9196
MEM 457.679688 1691074581.0200
MEM 457.679688 1691074581.1204
MEM 457.679688 1691074581.2209
MEM 457.679688 1691074581.3213
MEM 457.679688 1691074581.4217
MEM 457.679688 1691074581.5222
MEM 457.679688 1691074581.6226
MEM 457.679688 1691074581.7232
MEM 457.679688 1691074581.8235
MEM 457.679688 1691074581.9241
MEM 457.679688 1691074582.0245
MEM 457.679688 1691074582.1248
MEM 457.679688 1691074582.2253
MEM 457.679688 1691074582.3257
MEM 457.679688 1691074582.4269
MEM 457.679688 1691074582.5286
MEM 457.679688 1691074582.6300
MEM 457.679688 1691074582.7310
MEM 457.679688 1691074582.8314
MEM 457.679688 1691074582.9326
MEM 457.679688 1691074583.0330
MEM 457.679688 1691074583.1338
MEM 457.679688 1691074583.2346
MEM 457.679688 1691074583.3350
MEM 457.679688 1691074583.4356
MEM 457.679688 1691074583.5363
MEM 457.679688 1691074583.6381
MEM 457.679688 1691074583.7386
MEM 457.679688 1691074583.8392
MEM 457.679688 1691074583.9397
MEM 457.679688 1691074584.0401
MEM 457.679688 1691074584.1405
MEM 457.679688 1691074584.2410
MEM 457.679688 1691074584.3414
MEM 457.679688 1691074584.4420
MEM 457.679688 1691074584.5424
MEM 457.679688 1691074584.6429
MEM 457.679688 1691074584.7433
MEM 457.679688 1691074584.8437
MEM 457.679688 1691074584.9440
MEM 457.679688 1691074585.0444
MEM 457.679688 1691074585.1448
MEM 457.679688 1691074585.2452
MEM 457.679688 1691074585.3456
MEM 457.679688 1691074585.4460
MEM 457.679688 1691074585.5473
MEM 457.679688 1691074585.6480
MEM 457.679688 1691074585.7485
MEM 457.679688 1691074585.8489
MEM 457.679688 1691074585.9495
MEM 457.679688 1691074586.0499
MEM 457.679688 1691074586.1503
MEM 457.679688 1691074586.2507
MEM 457.679688 1691074586.3511
MEM 457.679688 1691074586.4515
MEM 457.679688 1691074586.5519
MEM 457.679688 1691074586.6523
MEM 457.679688 1691074586.7526
MEM 457.679688 1691074586.8530
MEM 457.679688 1691074586.9536
MEM 457.679688 1691074587.0540
MEM 457.679688 1691074587.1544
MEM 457.679688 1691074587.2550
MEM 457.679688 1691074587.3554
MEM 457.679688 1691074587.4560
MEM 457.679688 1691074587.5568
MEM 457.679688 1691074587.6573
MEM 457.679688 1691074587.7579
MEM 457.679688 1691074587.8585
MEM 457.679688 1691074587.9591
MEM 457.679688 1691074588.0595
MEM 457.679688 1691074588.1599
MEM 457.679688 1691074588.2604
MEM 457.679688 1691074588.3609
MEM 457.679688 1691074588.4613
MEM 457.679688 1691074588.5618
MEM 457.679688 1691074588.6622
MEM 457.679688 1691074588.7632
MEM 457.679688 1691074588.8636
MEM 457.679688 1691074588.9641
MEM 457.679688 1691074589.0646
MEM 457.679688 1691074589.1651
MEM 457.679688 1691074589.2657
MEM 457.679688 1691074589.3662
MEM 457.679688 1691074589.4666
MEM 457.679688 1691074589.5673
MEM 457.679688 1691074589.6678
MEM 457.679688 1691074589.7692
MEM 457.679688 1691074589.8708
MEM 457.679688 1691074589.9721
MEM 457.679688 1691074590.0725
MEM 457.679688 1691074590.1729
MEM 457.679688 1691074590.2739
MEM 457.679688 1691074590.3744
MEM 457.679688 1691074590.4750
MEM 457.679688 1691074590.5755
MEM 457.679688 1691074590.6760
MEM 457.679688 1691074590.7765
MEM 457.679688 1691074590.8770
MEM 457.679688 1691074590.9774
MEM 457.679688 1691074591.0779
MEM 457.679688 1691074591.1784
MEM 457.679688 1691074591.2788
MEM 457.679688 1691074591.3793
MEM 457.679688 1691074591.4797
MEM 457.679688 1691074591.5802
MEM 457.679688 1691074591.6808
MEM 457.679688 1691074591.7812
MEM 457.679688 1691074591.8816
MEM 457.679688 1691074591.9819
MEM 457.679688 1691074592.0823
MEM 457.679688 1691074592.1827
MEM 457.679688 1691074592.2832
MEM 457.679688 1691074592.3836
MEM 457.679688 1691074592.4839
MEM 457.679688 1691074592.5843
MEM 457.679688 1691074592.6847
MEM 457.679688 1691074592.7851
MEM 457.679688 1691074592.8854
MEM 457.679688 1691074592.9858
MEM 457.679688 1691074593.0861
MEM 457.679688 1691074593.1865
MEM 457.679688 1691074593.2869
MEM 457.679688 1691074593.3873
MEM 457.679688 1691074593.4877
MEM 457.679688 1691074593.5880
MEM 457.679688 1691074593.6885
MEM 457.679688 1691074593.7890
MEM 457.679688 1691074593.8896
MEM 457.679688 1691074593.9900
MEM 457.679688 1691074594.0906
MEM 457.679688 1691074594.1910
MEM 457.679688 1691074594.2914
MEM 457.679688 1691074594.3918
MEM 457.679688 1691074594.4924
MEM 457.679688 1691074594.5929
MEM 457.679688 1691074594.6933
MEM 457.679688 1691074594.7937
MEM 457.679688 1691074594.8943
MEM 457.679688 1691074594.9948
MEM 457.679688 1691074595.0953
MEM 457.679688 1691074595.1959
MEM 457.679688 1691074595.2964
MEM 457.679688 1691074595.3968
MEM 457.679688 1691074595.4973
MEM 457.679688 1691074595.5977
MEM 457.679688 1691074595.6982
MEM 457.679688 1691074595.7986
MEM 457.679688 1691074595.8991
MEM 457.679688 1691074595.9996
MEM 457.679688 1691074596.1000
MEM 457.679688 1691074596.2004
MEM 457.679688 1691074596.3008
MEM 457.679688 1691074596.4012
MEM 457.679688 1691074596.5016
MEM 457.679688 1691074596.6021
MEM 457.679688 1691074596.7026
MEM 457.679688 1691074596.8030
MEM 457.679688 1691074596.9036
MEM 457.679688 1691074597.0040
MEM 457.679688 1691074597.1045
MEM 486.652344 1691074597.2049
MEM 486.652344 1691074597.3054
MEM 486.652344 1691074597.4059
MEM 486.652344 1691074597.5064
MEM 486.652344 1691074597.6068
MEM 486.652344 1691074597.7073
MEM 486.652344 1691074597.8078
MEM 486.652344 1691074597.9082
MEM 486.652344 1691074598.0087
MEM 486.652344 1691074598.1092
MEM 486.652344 1691074598.2096
MEM 486.652344 1691074598.3102
MEM 486.652344 1691074598.4105
MEM 486.652344 1691074598.5110
