,current_params,proposed_params,current_log_likelihood,proposed_log_likelihood,step_forward_log_probs,step_backward_log_probs,current_log_posterior,proposed_log_posterior,alpha,accepted
3082,"[0.09805569751757087, 0.2753496377569334, 83826092342685.62]","[0.10869734616122285, 0.2740996956249805, 83361669849867.97]",-211.89569503020482,-225.4648172966473,-21.91581615231676,-21.806756293245336,-211.89569503020482,-225.4648172966473,1.4268199412254311e-06,False
3083,"[0.09805569751757087, 0.2753496377569334, 83826092342685.62]","[0.09468447474382222, 0.27832985996143084, 82398858951641.97]",-211.89569503020482,-217.70665005627572,-22.26955316990721,-22.327066207158147,-211.89569503020482,-217.70665005627572,0.002827201111307523,False
3084,"[0.09805569751757087, 0.2753496377569334, 83826092342685.62]","[0.09404840316639959, 0.270375748762789, 82897775885803.73]",-211.89569503020482,-218.88923932596214,-21.74924405671906,-21.877634717359392,-211.89569503020482,-218.88923932596214,0.0008072033357828697,False
3085,"[0.09805569751757087, 0.2753496377569334, 83826092342685.62]","[0.09556469968006899, 0.2764472638396391, 82477130630467.38]",-211.89569503020482,-215.45619601727032,-22.097806022632238,-22.153091847160383,-211.89569503020482,-215.45619601727032,0.026895754997981185,False
3086,"[0.09805569751757087, 0.2753496377569334, 83826092342685.62]","[0.09994274317032169, 0.26911639569213663, 83718271861883.16]",-211.89569503020482,-211.56054749322968,-21.394008013742717,-21.39873823706352,-211.89569503020482,-211.56054749322968,1.3915487195924174,True
3087,"[0.09994274317032169, 0.26911639569213663, 83718271861883.16]","[0.11475899509660971, 0.27374150841440875, 84086368978823.16]",-211.56054749322968,-244.33240870483513,-22.511336110318773,-22.396999052999643,-211.56054749322968,-244.33240870483513,6.561716567654025e-15,False
3088,"[0.09994274317032169, 0.26911639569213663, 83718271861883.16]","[0.10666481873196984, 0.2586337748711827, 86293979515836.56]",-211.56054749322968,-222.72281565237228,-25.26516320688699,-25.278268720966235,-211.56054749322968,-222.72281565237228,1.4015121932791736e-05,False
3089,"[0.09994274317032169, 0.26911639569213663, 83718271861883.16]","[0.08785658408424121, 0.25676441026039476, 82809212929941.45]",-211.56054749322968,-252.1565815613132,-22.990082165322626,-23.18456715712586,-211.56054749322968,-252.1565815613132,1.9270929309945467e-18,False
3090,"[0.09994274317032169, 0.26911639569213663, 83718271861883.16]","[0.10073348461260367, 0.28217244149247794, 82760909116198.05]",-211.56054749322968,-211.6491923551472,-22.512818276125863,-22.472131048918314,-211.56054749322968,-211.6491923551472,0.9531741677221978,False
3091,"[0.09994274317032169, 0.26911639569213663, 83718271861883.16]","[0.09862036271264196, 0.27110978433372707, 83620733323929.39]",-211.56054749322968,-211.58081505161144,-21.20470434457979,-21.218969216204854,-211.56054749322968,-211.58081505161144,0.9660570099430547,True
3092,"[0.09862036271264196, 0.27110978433372707, 83620733323929.39]","[0.10408012738559123, 0.2747017548141425, 83531891163396.81]",-211.58081505161144,-215.4669824351916,-21.456120169863922,-21.335899990457435,-211.58081505161144,-215.4669824351916,0.0231456781659627,False
3093,"[0.09862036271264196, 0.27110978433372707, 83620733323929.39]","[0.10550548422727121, 0.2996204768324578, 82390066649946.69]",-211.58081505161144,-216.35795957295275,-26.122543721220424,-26.365428841107352,-211.58081505161144,-216.35795957295275,0.00660433094593254,False
3094,"[0.09862036271264196, 0.27110978433372707, 83620733323929.39]","[0.10882996993384264, 0.2845562059024595, 83025479169305.2]",-211.58081505161144,-224.71132872709734,-22.859258719594308,-22.704680184635762,-211.58081505161144,-224.71132872709734,2.3153836965096547e-06,False
3095,"[0.09862036271264196, 0.27110978433372707, 83620733323929.39]","[0.11206872134902661, 0.2711662731293617, 84000745806981.77]",-211.58081505161144,-235.84666858693964,-22.21272474112139,-22.10198863114643,-211.58081505161144,-235.84666858693964,3.232702897195403e-11,False
3096,"[0.09862036271264196, 0.27110978433372707, 83620733323929.39]","[0.1014461459416918, 0.2577865681333312, 83305671233901.95]",-211.58081505161144,-212.75049624105054,-22.159231606496732,-22.152647943521767,-211.58081505161144,-212.75049624105054,0.3125166514878515,True
3097,"[0.1014461459416918, 0.2577865681333312, 83305671233901.95]","[0.10101062973462298, 0.24810174673975557, 81823062559302.02]",-212.75049624105054,-212.52654098352772,-22.712188881074237,-22.78304577157372,-212.75049624105054,-212.52654098352772,1.1654396141302044,True
3098,"[0.10101062973462298, 0.24810174673975557, 81823062559302.02]","[0.10381368208813822, 0.2593267203468175, 83105365605613.5]",-212.52654098352772,-215.83376791235094,-22.729487227369937,-22.610738943910775,-212.52654098352772,-215.83376791235094,0.04123455562652113,False
3099,"[0.10101062973462298, 0.24810174673975557, 81823062559302.02]","[0.09969960590202337, 0.25412918293498016, 82306735358439.56]",-212.52654098352772,-211.6255301184135,-21.499234750296132,-21.472166013925005,-212.52654098352772,-211.6255301184135,2.529646580514312,True
3100,"[0.09969960590202337, 0.25412918293498016, 82306735358439.56]","[0.08915513988611061, 0.23328551831938363, 82294461761627.86]",-211.6255301184135,-238.56913113156835,-23.878457176745655,-23.942938472506526,-211.6255301184135,-238.56913113156835,1.8643991078780672e-12,False
3101,"[0.09969960590202337, 0.25412918293498016, 82306735358439.56]","[0.11312224083587033, 0.24325179896188734, 81157272988616.3]",-211.6255301184135,-242.11835365108388,-23.35020635402236,-23.31789071705042,-211.6255301184135,-242.11835365108388,5.904314803296334e-14,False
3102,"[0.09969960590202337, 0.25412918293498016, 82306735358439.56]","[0.0941382120965402, 0.2441569553107121, 82695729696328.84]",-211.6255301184135,-216.98708359683417,-21.83246052706329,-21.980100992663083,-211.6255301184135,-216.98708359683417,0.004049370087056647,False
3103,"[0.09969960590202337, 0.25412918293498016, 82306735358439.56]","[0.1156048323261975, 0.25365717524754355, 82902673089820.84]",-211.6255301184135,-249.94862891323893,-22.654318528964495,-22.598788037358332,-211.6255301184135,-249.94862891323893,2.402183889798836e-17,False
3104,"[0.09969960590202337, 0.25412918293498016, 82306735358439.56]","[0.11332282531283627, 0.23850736600271744, 82145701249829.47]",-211.6255301184135,-244.16032191019633,-23.378013796516598,-23.307740796501058,-211.6255301184135,-244.16032191019633,7.958635799078518e-15,False
3105,"[0.09969960590202337, 0.25412918293498016, 82306735358439.56]","[0.11405745163221437, 0.24184284917706955, 82833878317107.06]",-211.6255301184135,-246.5255926436211,-23.129579107855818,-23.082922482613164,-211.6255301184135,-246.5255926436211,7.300593074523995e-16,False
3106,"[0.09969960590202337, 0.25412918293498016, 82306735358439.56]","[0.09396454797717825, 0.24974441365610978, 81397494787384.52]",-211.6255301184135,-218.05826714132442,-21.775445270783564,-21.929725545020613,-211.6255301184135,-218.05826714132442,0.001378144434705365,False
3107,"[0.09969960590202337, 0.25412918293498016, 82306735358439.56]","[0.10350867506260486, 0.2505381730982832, 82186737078397.64]",-211.6255301184135,-215.69215497929292,-21.343325442233493,-21.30205136632364,-211.6255301184135,-215.69215497929292,0.017857159031535688,False
3108,"[0.09969960590202337, 0.25412918293498016, 82306735358439.56]","[0.09929561209529306, 0.2673270682133914, 82822417633127.2]",-211.6255301184135,-211.46368493070307,-22.206416387203888,-22.160677904372662,-211.6255301184135,-211.46368493070307,1.2307006859253131,True
3109,"[0.09929561209529306, 0.2673270682133914, 82822417633127.2]","[0.11354457346982363, 0.2824043246696687, 83490600565844.25]",-211.46368493070307,-238.82374843288287,-23.620545712725104,-23.493445915217876,-211.46368493070307,-238.82374843288287,1.48892950876669e-12,False
3110,"[0.09929561209529306, 0.2673270682133914, 82822417633127.2]","[0.10094986651084871, 0.2757544244799619, 82800117715607.11]",-211.46368493070307,-211.8463757553872,-21.587353694755947,-21.50773388502834,-211.46368493070307,-211.8463757553872,0.7385466466501536,True
3111,"[0.10094986651084871, 0.2757544244799619, 82800117715607.11]","[0.0988800317750518, 0.262297684659158, 83203340232872.34]",-211.8463757553872,-211.50210791381173,-22.15129350373125,-22.222652264211042,-211.8463757553872,-211.50210791381173,1.3137807918844226,True
3112,"[0.0988800317750518, 0.262297684659158, 83203340232872.34]","[0.10394091430413709, 0.2594906108840792, 83022967455390.3]",-211.50210791381173,-216.0242230481466,-21.395293898801476,-21.329155640024144,-211.50210791381173,-216.0242230481466,0.011608973810922947,False
3113,"[0.0988800317750518, 0.262297684659158, 83203340232872.34]","[0.09289111663665484, 0.24820250993737034, 83676317953413.8]",-211.50210791381173,-220.84297051490393,-22.395246269024376,-22.532208014855456,-211.50210791381173,-220.84297051490393,7.653025945391263e-05,False
3114,"[0.0988800317750518, 0.262297684659158, 83203340232872.34]","[0.09857831698009303, 0.25495810726917223, 82123757838622.0]",-211.50210791381173,-211.5510117969956,-21.996759874135655,-22.065424260156448,-211.50210791381173,-211.5510117969956,0.889079812902834,False
3115,"[0.0988800317750518, 0.262297684659158, 83203340232872.34]","[0.09551849390666506, 0.25389559447981547, 81722872372164.19]",-211.50210791381173,-214.59103114758477,-22.62096521642963,-22.747068692673093,-211.50210791381173,-214.59103114758477,0.04015426128831857,False
3116,"[0.0988800317750518, 0.262297684659158, 83203340232872.34]","[0.10417202044534009, 0.2624123899229728, 84617416287712.06]",-211.50210791381173,-216.5751349687252,-22.371815590544493,-22.265078768816938,-211.50210791381173,-216.5751349687252,0.006968953331131629,False
3117,"[0.0988800317750518, 0.262297684659158, 83203340232872.34]","[0.0910573840298344, 0.24238656691831212, 84285939696958.25]",-211.50210791381173,-227.85215619508838,-24.02281205992336,-24.087653668341748,-211.50210791381173,-227.85215619508838,7.431969177670611e-08,False
3118,"[0.0988800317750518, 0.262297684659158, 83203340232872.34]","[0.10753512071082864, 0.27277585141356253, 84189488940897.17]",-211.50210791381173,-222.89321554994197,-22.68458324864043,-22.49293622724847,-211.50210791381173,-222.89321554994197,1.368157371502337e-05,False
3119,"[0.0988800317750518, 0.262297684659158, 83203340232872.34]","[0.10484922978960537, 0.27387897741766526, 82330059095609.89]",-211.50210791381173,-216.59135271538455,-22.476571309966523,-22.341120361840986,-211.50210791381173,-216.59135271538455,0.007056586426162741,False
3120,"[0.0988800317750518, 0.262297684659158, 83203340232872.34]","[0.0911538132429633, 0.27473808072755906, 84224312759390.6]",-211.50210791381173,-230.94808962598614,-22.737805513703684,-22.807499852877893,-211.50210791381173,-230.94808962598614,3.34541176814101e-09,False
3121,"[0.0988800317750518, 0.262297684659158, 83203340232872.34]","[0.09031801898284661, 0.25887543291862175, 84351744830086.45]",-211.50210791381173,-233.76576877330794,-22.190147030813712,-22.33706735497259,-211.50210791381173,-233.76576877330794,1.8501556048546493e-10,False
3122,"[0.0988800317750518, 0.262297684659158, 83203340232872.34]","[0.12191087083888524, 0.27171898314601056, 82600962544595.72]",-211.50210791381173,-269.40521374631487,-24.332641690242617,-24.617601435424593,-211.50210791381173,-269.40521374631487,5.360980246438346e-26,False
3123,"[0.0988800317750518, 0.262297684659158, 83203340232872.34]","[0.08272965697569708, 0.2583618062652301, 83814834985488.62]",-211.50210791381173,-316.1124783236181,-22.722859232193464,-22.785483202851715,-211.50210791381173,-316.1124783236181,3.4761310124163966e-46,False
3124,"[0.0988800317750518, 0.262297684659158, 83203340232872.34]","[0.09734355978005998, 0.26283093202503555, 83671457975784.25]",-211.50210791381173,-212.22578213461435,-21.292967586091955,-21.309609873497436,-211.50210791381173,-212.22578213461435,0.47696292894607734,False
3125,"[0.0988800317750518, 0.262297684659158, 83203340232872.34]","[0.09152673968446928, 0.2683192571566593, 83625292495855.2]",-211.50210791381173,-228.51995502703207,-21.68080551639884,-21.758211177241954,-211.50210791381173,-228.51995502703207,3.763795801635109e-08,False
3126,"[0.0988800317750518, 0.262297684659158, 83203340232872.34]","[0.10102405612937827, 0.2663016147224994, 82614105557570.66]",-211.50210791381173,-212.0742157479894,-21.48440639044305,-21.426011060459466,-211.50210791381173,-212.0742157479894,0.5982703695625093,False
3127,"[0.0988800317750518, 0.262297684659158, 83203340232872.34]","[0.09105091894443856, 0.2639990389463494, 82408383505389.03]",-211.50210791381173,-230.96341966110074,-21.748952749995006,-21.882719731762336,-211.50210791381173,-230.96341966110074,3.0900494928658298e-09,False
3128,"[0.0988800317750518, 0.262297684659158, 83203340232872.34]","[0.10924591894061088, 0.2497352633134629, 83977939172376.7]",-211.50210791381173,-230.00028720423035,-22.854158685572322,-22.75774887900112,-211.50210791381173,-230.00028720423035,1.0190912105576625e-08,False
3129,"[0.0988800317750518, 0.262297684659158, 83203340232872.34]","[0.09278946073684599, 0.25121609273078793, 81206891785921.61]",-211.50210791381173,-222.09658479092172,-23.89815241967637,-24.044735127189476,-211.50210791381173,-222.09658479092172,2.1637998811549988e-05,False
3130,"[0.0988800317750518, 0.262297684659158, 83203340232872.34]","[0.09658583899540488, 0.2678261732885795, 84237522431876.33]",-211.50210791381173,-213.12135144513073,-21.896031583103145,-21.888829872518954,-211.50210791381173,-213.12135144513073,0.1994798957855723,False
3131,"[0.0988800317750518, 0.262297684659158, 83203340232872.34]","[0.09728255535569814, 0.2722448000064589, 82999205563114.3]",-211.50210791381173,-212.53947449611692,-21.713290878411108,-21.70056329930766,-211.50210791381173,-212.53947449611692,0.35892601316294287,True
3132,"[0.09728255535569814, 0.2722448000064589, 82999205563114.3]","[0.08611022250121822, 0.2523560885632129, 83454151184096.67]",-212.53947449611692,-268.1625268209486,-23.84538460401167,-23.9295638099987,-212.53947449611692,-268.1625268209486,6.407029801432578e-25,False
3133,"[0.09728255535569814, 0.2722448000064589, 82999205563114.3]","[0.08647464958169657, 0.2715706635077311, 82101493989190.98]",-212.53947449611692,-268.94013991871395,-22.086797155624666,-22.251694714455592,-212.53947449611692,-268.94013991871395,2.7157396396818934e-25,False
3134,"[0.09728255535569814, 0.2722448000064589, 82999205563114.3]","[0.09665061411483276, 0.26525573452466417, 81770926429266.5]",-212.53947449611692,-213.2086527414733,-22.143431048367304,-22.214834171408814,-212.53947449611692,-213.2086527414733,0.4768366171824209,False
3135,"[0.09728255535569814, 0.2722448000064589, 82999205563114.3]","[0.09623796919135, 0.2700404293226177, 82019543612956.78]",-212.53947449611692,-213.97029021292477,-21.66130414353877,-21.714984968999005,-212.53947449611692,-213.97029021292477,0.22661640374173805,False
3136,"[0.09728255535569814, 0.2722448000064589, 82999205563114.3]","[0.1056872952025036, 0.2646060299730899, 83743343389610.83]",-212.53947449611692,-219.20703182198562,-22.148476481943092,-22.052938384649273,-212.53947449611692,-219.20703182198562,0.0013989697185864789,False
3137,"[0.09728255535569814, 0.2722448000064589, 82999205563114.3]","[0.11528288993387815, 0.26833382733076744, 84336049818232.28]",-212.53947449611692,-247.10153758450386,-23.755486849037723,-23.797133640905635,-212.53947449611692,-247.10153758450386,9.371297941701599e-16,False
3138,"[0.09728255535569814, 0.2722448000064589, 82999205563114.3]","[0.09195893209207344, 0.27368548290431527, 82766793728058.33]",-212.53947449611692,-227.27706680456453,-21.309193589084842,-21.406243361281508,-212.53947449611692,-227.27706680456453,3.6090824472958426e-07,False
3139,"[0.09728255535569814, 0.2722448000064589, 82999205563114.3]","[0.09175636630413435, 0.27452755126696193, 81920961285478.11]",-212.53947449611692,-228.65305180756508,-21.88632639275228,-21.99109986446003,-212.53947449611692,-228.65305180756508,9.046065943235772e-08,False
3140,"[0.09728255535569814, 0.2722448000064589, 82999205563114.3]","[0.09941496868458759, 0.2634101251724222, 83530918582447.86]",-212.53947449611692,-211.50357662639252,-21.735659634136326,-21.73016578389444,-212.53947449611692,-211.50357662639252,2.833157233364172,True
3141,"[0.09941496868458759, 0.2634101251724222, 83530918582447.86]","[0.08587366115992459, 0.273982674661008, 83282239241147.25]",-211.50357662639252,-275.4610426066896,-22.653415360477528,-22.723943848675844,-211.50357662639252,-275.4610426066896,1.5595356790735554e-28,False
3142,"[0.09941496868458759, 0.2634101251724222, 83530918582447.86]","[0.10432982503312774, 0.2621659655625395, 84784304999121.42]",-211.50357662639252,-216.9174938604284,-22.139308343210576,-22.04572484126748,-211.50357662639252,-216.9174938604284,0.004891121128739299,False
3143,"[0.09941496868458759, 0.2634101251724222, 83530918582447.86]","[0.10536908712919298, 0.25147791868441716, 84370213175366.16]",-211.50357662639252,-219.78161472431393,-22.454772508850443,-22.38551719077693,-211.50357662639252,-219.78161472431393,0.00027225191019527645,False
3144,"[0.09941496868458759, 0.2634101251724222, 83530918582447.86]","[0.09935665500144927, 0.24649123948574686, 83591801691099.14]",-211.50357662639252,-211.7179967791666,-22.609739239357385,-22.615551963801966,-211.50357662639252,-211.7179967791666,0.8023319313762025,True
3145,"[0.09935665500144927, 0.24649123948574686, 83591801691099.14]","[0.10717753241568974, 0.24516382802157916, 83355816950109.25]",-211.7179967791666,-224.51441072561963,-21.57344530298393,-21.468972344095086,-211.7179967791666,-224.51441072561963,3.075813965321491e-06,False
3146,"[0.09935665500144927, 0.24649123948574686, 83591801691099.14]","[0.09642217496977555, 0.23322782809891388, 84150724285040.45]",-211.7179967791666,-212.54298538990113,-22.21176490131352,-22.30388146004919,-211.7179967791666,-212.54298538990113,0.3996743575872965,False
3147,"[0.09935665500144927, 0.24649123948574686, 83591801691099.14]","[0.09033524674890982, 0.2621468986785274, 83188460757902.25]",-211.7179967791666,-234.5372238265409,-22.830978240449543,-22.95647917813111,-211.7179967791666,-234.5372238265409,1.0845042226172173e-10,False
3148,"[0.09935665500144927, 0.24649123948574686, 83591801691099.14]","[0.10013908480111099, 0.2578704681075011, 83318472358522.03]",-211.7179967791666,-211.79097826789067,-21.896844360139074,-21.83624898140902,-211.7179967791666,-211.79097826789067,0.9876902821406505,True
3149,"[0.10013908480111099, 0.2578704681075011, 83318472358522.03]","[0.09785753184261481, 0.25935143185676096, 84038705681661.56]",-211.79097826789067,-211.80727792978956,-21.464988129773467,-21.484713355958476,-211.79097826789067,-211.80727792978956,0.9646162857333125,True
3150,"[0.09785753184261481, 0.25935143185676096, 84038705681661.56]","[0.11225094689682225, 0.2618205335152544, 82207116121646.25]",-211.80727792978956,-236.8915489839456,-23.979903098648933,-23.871051904967807,-211.80727792978956,-236.8915489839456,1.4233541481516035e-11,False
3151,"[0.09785753184261481, 0.25935143185676096, 84038705681661.56]","[0.09270677117449165, 0.25982338179419223, 83725130317949.38]",-211.80727792978956,-222.46430281104094,-21.31040891163427,-21.412684350340527,-211.80727792978956,-222.46430281104094,2.1246883759534994e-05,False
3152,"[0.09785753184261481, 0.25935143185676096, 84038705681661.56]","[0.10393950962878375, 0.25338193176905416, 86029517739524.52]",-211.80727792978956,-217.0909407198567,-23.548427558939906,-23.49868837866922,-211.80727792978956,-217.0909407198567,0.005332561312490056,False
3153,"[0.09785753184261481, 0.25935143185676096, 84038705681661.56]","[0.10252470162887987, 0.26527277171895175, 83105649503441.58]",-211.80727792978956,-213.6241508937577,-21.95330568533562,-21.84278409217124,-211.80727792978956,-213.6241508937577,0.18152691018166403,False
3154,"[0.09785753184261481, 0.25935143185676096, 84038705681661.56]","[0.10816028636824664, 0.25138545478545604, 85217240795584.75]",-211.80727792978956,-227.12820823680488,-22.76951103432161,-22.674243903830952,-211.80727792978956,-227.12820823680488,2.441060252002336e-07,False
3155,"[0.09785753184261481, 0.25935143185676096, 84038705681661.56]","[0.0862862773966603, 0.252280141690698, 84018319418336.39]",-211.80727792978956,-265.87785833268214,-22.00705268431453,-22.193190968414804,-211.80727792978956,-265.87785833268214,2.7327913103988692e-24,False
3156,"[0.09785753184261481, 0.25935143185676096, 84038705681661.56]","[0.08614826453700654, 0.2659327570673424, 82841288206628.2]",-211.80727792978956,-270.93164072780723,-22.744179485110394,-22.854893331923947,-211.80727792978956,-270.93164072780723,1.8816250147057133e-26,False
3157,"[0.09785753184261481, 0.25935143185676096, 84038705681661.56]","[0.08649492737241662, 0.28113684878999357, 84779333996950.7]",-211.80727792978956,-268.81520900741214,-24.365465355657463,-24.585855926190042,-211.80727792978956,-268.81520900741214,1.399766835523146e-25,False
3158,"[0.09785753184261481, 0.25935143185676096, 84038705681661.56]","[0.10488175201727512, 0.2657766900785973, 84499677951873.19]",-211.80727792978956,-217.65473827202,-21.82219324296993,-21.653861512811968,-211.80727792978956,-217.65473827202,0.003416534273375729,False
3159,"[0.09785753184261481, 0.25935143185676096, 84038705681661.56]","[0.10559303555143829, 0.2574463590660877, 84465890593160.95]",-211.80727792978956,-219.7819505923128,-21.645753346837623,-21.52886850570391,-211.80727792978956,-219.7819505923128,0.0003867284381753423,False
3160,"[0.09785753184261481, 0.25935143185676096, 84038705681661.56]","[0.11102684141278008, 0.25386109675872087, 84398267765431.44]",-211.80727792978956,-235.09878589879156,-22.301419916138556,-22.225055599536965,-211.80727792978956,-235.09878589879156,8.275442304537591e-11,False
3161,"[0.09785753184261481, 0.25935143185676096, 84038705681661.56]","[0.0884133431500464, 0.2640130552873824, 83268330895445.44]",-211.80727792978956,-248.3972882573479,-21.968459453562204,-22.092999204047402,-211.80727792978956,-248.3972882573479,1.1352029095184964e-16,False
3162,"[0.09785753184261481, 0.25935143185676096, 84038705681661.56]","[0.08146475293114074, 0.2616618627389555, 83000016195398.3]",-211.80727792978956,-341.0633921393595,-23.07750863121332,-23.11444322741614,-211.80727792978956,-341.0633921393595,7.058986563026477e-57,False
3163,"[0.09785753184261481, 0.25935143185676096, 84038705681661.56]","[0.11316460418431055, 0.2547479984123162, 85136826792213.2]",-211.80727792978956,-242.392479841485,-23.08597687663699,-23.03995324506639,-211.80727792978956,-242.392479841485,5.457621225245639e-14,False
3164,"[0.09785753184261481, 0.25935143185676096, 84038705681661.56]","[0.10610513384460721, 0.25076227845025323, 85798564550292.34]",-211.80727792978956,-221.97854428678318,-23.47308880275544,-23.399965427985077,-211.80727792978956,-221.97854428678318,4.115591156521231e-05,False
3165,"[0.09785753184261481, 0.25935143185676096, 84038705681661.56]","[0.09428338906066674, 0.27180141993785617, 82241444261700.95]",-211.80727792978956,-218.44082382594323,-23.62158111342761,-23.644244655157383,-211.80727792978956,-218.44082382594323,0.0012860118509088934,False
3166,"[0.09785753184261481, 0.25935143185676096, 84038705681661.56]","[0.10308842664629815, 0.26116732905706697, 83200889965697.34]",-211.80727792978956,-214.59903960976146,-21.729386560588225,-21.636198673996304,-211.80727792978956,-214.59903960976146,0.06730143006962806,False
3167,"[0.09785753184261481, 0.25935143185676096, 84038705681661.56]","[0.08155247611641873, 0.2478888261109758, 83012839053222.28]",-211.80727792978956,-335.0564408532203,-23.64449277351524,-23.752956226261077,-211.80727792978956,-335.0564408532203,2.669706778251758e-54,False
3168,"[0.09785753184261481, 0.25935143185676096, 84038705681661.56]","[0.08930528177884456, 0.27990669797916157, 84100259471334.42]",-211.80727792978956,-243.44966144592811,-23.561673109461978,-23.760992467982298,-211.80727792978956,-243.44966144592811,1.4836250146333436e-14,False
3169,"[0.09785753184261481, 0.25935143185676096, 84038705681661.56]","[0.09029950592331827, 0.2688164128852203, 84887237160294.08]",-211.80727792978956,-234.90233760698064,-22.24016481601653,-22.304903554263213,-211.80727792978956,-234.90233760698064,8.746359944716256e-11,False
3170,"[0.09785753184261481, 0.25935143185676096, 84038705681661.56]","[0.0947830744436347, 0.2798219138828633, 81472008476167.03]",-211.80727792978956,-217.7424664804056,-26.593512400485324,-26.64149929073281,-211.80727792978956,-217.7424664804056,0.002520808890014381,False
3171,"[0.09785753184261481, 0.25935143185676096, 84038705681661.56]","[0.1149126956342395, 0.26891463376678343, 82527459539195.66]",-211.80727792978956,-244.79441959503058,-24.264175844345843,-24.212613865321483,-211.80727792978956,-244.79441959503058,4.968891160582951e-15,False
3172,"[0.09785753184261481, 0.25935143185676096, 84038705681661.56]","[0.09970630307174125, 0.25283488748300914, 84230017548456.03]",-211.80727792978956,-211.75902603816348,-21.425146741535613,-21.427313354034208,-211.80727792978956,-211.75902603816348,1.0471637083566638,True
3173,"[0.09970630307174125, 0.25283488748300914, 84230017548456.03]","[0.10061048526944912, 0.23726755666018876, 85269434059656.48]",-211.75902603816348,-213.02352833851126,-22.93993647107636,-22.93065753305383,-211.75902603816348,-213.02352833851126,0.28501218013091606,False
3174,"[0.09970630307174125, 0.25283488748300914, 84230017548456.03]","[0.09891038950890602, 0.23428202318861213, 84332481412625.58]",-211.75902603816348,-211.8849531596198,-22.914056170697858,-22.905185324618444,-211.75902603816348,-211.8849531596198,0.8895351328299642,True
3175,"[0.09891038950890602, 0.23428202318861213, 84332481412625.58]","[0.09290083625568474, 0.22637892375087995, 85487847397032.2]",-211.8849531596198,-218.85947653419294,-22.264261901361508,-22.413893601615545,-211.8849531596198,-218.85947653419294,0.0008054132366320637,False
3176,"[0.09891038950890602, 0.23428202318861213, 84332481412625.58]","[0.10938247522124556, 0.2226147693901369, 85116800036404.72]",-211.8849531596198,-234.97261485194133,-22.759561030690108,-22.672824304672723,-211.8849531596198,-234.97261485194133,1.0252392127312861e-10,False
3177,"[0.09891038950890602, 0.23428202318861213, 84332481412625.58]","[0.09900061384558662, 0.24816589846470383, 84062747105545.78]",-211.8849531596198,-211.62903223515772,-22.1976365402371,-22.160891672419385,-211.8849531596198,-211.62903223515772,1.3399948789545415,True
3178,"[0.09900061384558662, 0.24816589846470383, 84062747105545.78]","[0.0825093025492387, 0.24385993229894332, 83387048895236.2]",-211.62903223515772,-316.1161535094441,-22.826627473532657,-22.907409541758486,-211.62903223515772,-316.1161535094441,3.861327109790596e-46,False
3179,"[0.09900061384558662, 0.24816589846470383, 84062747105545.78]","[0.0880684274488116, 0.25139805818488115, 84088608175988.08]",-211.62903223515772,-248.76504542658387,-21.7724010398066,-21.88780094200647,-211.62903223515772,-248.76504542658387,6.63616002870167e-17,False
3180,"[0.09900061384558662, 0.24816589846470383, 84062747105545.78]","[0.10438645122996826, 0.24973338559207844, 83126607894480.4]",-211.62903223515772,-217.55267292554345,-21.8202394231098,-21.72781441940827,-211.62903223515772,-217.55267292554345,0.0029345073693653797,False
3181,"[0.09900061384558662, 0.24816589846470383, 84062747105545.78]","[0.10411342709790458, 0.2437586716259161, 84057544878077.73]",-211.62903223515772,-217.71690854818175,-21.43553666571069,-21.377167193961817,-211.62903223515772,-217.71690854818175,0.0024066805615254386,False
3182,"[0.09900061384558662, 0.24816589846470383, 84062747105545.78]","[0.08831913848865142, 0.2518418030080082, 84478475150602.95]",-211.62903223515772,-246.5962035755606,-21.8521320604379,-21.95644472654146,-211.62903223515772,-246.5962035755606,5.870134116699264e-16,False
3183,"[0.09900061384558662, 0.24816589846470383, 84062747105545.78]","[0.09454272109625925, 0.2468976948281962, 84274576877637.78]",-211.62903223515772,-215.90023202137633,-21.26273166159223,-21.354092879957662,-211.62903223515772,-215.90023202137633,0.012745704009528317,False
3184,"[0.09900061384558662, 0.24816589846470383, 84062747105545.78]","[0.11060519414625133, 0.25213254683119335, 82702647876857.5]",-211.62903223515772,-233.274489659966,-22.926702201022184,-22.786833552526986,-211.62903223515772,-233.274489659966,4.573423977687952e-10,False
3185,"[0.09900061384558662, 0.24816589846470383, 84062747105545.78]","[0.08871762529263374, 0.2562083667638493, 82880909096127.78]",-211.62903223515772,-244.93906857938626,-22.676552415730615,-22.783863478683983,-211.62903223515772,-244.93906857938626,3.069236973056303e-15,False
3186,"[0.09900061384558662, 0.24816589846470383, 84062747105545.78]","[0.09691822256693171, 0.2525418871168799, 82500848189790.25]",-211.62903223515772,-212.48690822000222,-22.50767288279747,-22.52388778050165,-211.62903223515772,-212.48690822000222,0.4172411685346985,False
3187,"[0.09900061384558662, 0.24816589846470383, 84062747105545.78]","[0.09463474274895578, 0.23915688848146005, 85167383974812.25]",-211.62903223515772,-215.22030357122503,-22.22839836421213,-22.351417115297252,-211.62903223515772,-215.22030357122503,0.024372737494313984,False
3188,"[0.09900061384558662, 0.24816589846470383, 84062747105545.78]","[0.07699282703315832, 0.2492064060801821, 84052454548783.08]",-211.62903223515772,-449.03628286897333,-23.79011959038849,-23.472752457760624,-211.62903223515772,-449.03628286897333,1.0793738205461793e-103,False
