,results,results,results,results,parameters,parameters,parameters,parameters,parameters,parameters,parameters,parameters,parameters,parameters,parameters,parameters,parameters,results,results,results,results,results,results,results,results,results,results,results,results,results,results,results,parameters,parameters,parameters,results,results,results,results,results,parameters,parameters,parameters
,misc,misc,misc,misc,sampler,sampler,sampler,I_y_and_I_z,I_y_and_I_z,I_y_and_I_z,I_y_and_I_z,I_y_and_I_z,I_y_and_I_z,I_y_and_I_z,Q,Q,Q,I_y,I_y,I_y,I_y,I_y,I_z,I_z,I_z,I_z,I_z,Q,Q,Q,Q,Q,sigma,sigma,sigma,sigma,sigma,sigma,sigma,sigma,model,model,likelihood
,RMSE,AIC,BIC,average_diverging,n_samples,n_chains,thinning_rate,prior,mu_0,mu_1,cov_0_0,cov_0_1,cov_1_0,cov_1_1,prior,mu,sigma,mean,lower,upper,average_tau,param_accuracy,mean,lower,upper,average_tau,param_accuracy,mean,lower,upper,average_tau,param_accuracy,prior,mu,sigma,mean,lower,upper,average_tau,param_accuracy,type,H,type
34,NaN,NaN,NaN,NaN,10000,1,1,log_norm,100000.0,100000.0,100000.0,0,0,100000.0,log_norm,1e+18,100000000000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,log_norm,2.0,2.0,NaN,NaN,NaN,NaN,NaN,log_gpm_norm,10,gaussian
35,NaN,NaN,NaN,NaN,10000,1,1,log_norm,100000.0,100000.0,100000.0,0,0,100000.0,log_norm,1e+18,100000000000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,log_norm,2.5,2.0,NaN,NaN,NaN,NaN,NaN,log_gpm_norm,10,gaussian
36,NaN,NaN,NaN,NaN,10000,1,1,log_norm,100000.0,100000.0,100000.0,0,0,100000.0,log_norm,1e+18,100000000000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,log_norm,3.0,2.0,NaN,NaN,NaN,NaN,NaN,log_gpm_norm,10,gaussian
37,NaN,NaN,NaN,NaN,10000,1,1,log_norm,100000.0,100000.0,100000.0,0,0,100000.0,log_norm,1e+18,100000000000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,log_norm,3.5,2.0,NaN,NaN,NaN,NaN,NaN,log_gpm_norm,10,gaussian
38,NaN,NaN,NaN,NaN,10000,1,1,log_norm,100000.0,100000.0,100000.0,0,0,100000.0,log_norm,1e+18,100000000000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,log_norm,4.0,2.0,NaN,NaN,NaN,NaN,NaN,log_gpm_norm,10,gaussian
39,NaN,NaN,NaN,NaN,10000,1,1,log_norm,100000.0,100000.0,100000.0,0,0,100000.0,log_norm,1e+18,100000000000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,log_norm,4.5,2.0,NaN,NaN,NaN,NaN,NaN,log_gpm_norm,10,gaussian
40,NaN,NaN,NaN,NaN,10000,1,1,log_norm,100000.0,100000.0,100000.0,0,0,100000.0,log_norm,1e+18,100000000000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,log_norm,5.0,2.0,NaN,NaN,NaN,NaN,NaN,log_gpm_norm,10,gaussian
41,NaN,NaN,NaN,NaN,10000,1,1,log_norm,100000.0,100000.0,100000.0,0,0,100000.0,log_norm,1e+18,100000000000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,log_norm,0.5,2.5,NaN,NaN,NaN,NaN,NaN,log_gpm_norm,10,gaussian
42,NaN,NaN,NaN,NaN,10000,1,1,log_norm,100000.0,100000.0,100000.0,0,0,100000.0,log_norm,1e+18,100000000000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,log_norm,1.0,2.5,NaN,NaN,NaN,NaN,NaN,log_gpm_norm,10,gaussian
43,NaN,NaN,NaN,NaN,10000,1,1,log_norm,100000.0,100000.0,100000.0,0,0,100000.0,log_norm,1e+18,100000000000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,log_norm,1.5,2.5,NaN,NaN,NaN,NaN,NaN,log_gpm_norm,10,gaussian
44,NaN,NaN,NaN,NaN,10000,1,1,log_norm,100000.0,100000.0,100000.0,0,0,100000.0,log_norm,1e+18,100000000000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,log_norm,2.0,2.5,NaN,NaN,NaN,NaN,NaN,log_gpm_norm,10,gaussian
45,NaN,NaN,NaN,NaN,10000,1,1,log_norm,100000.0,100000.0,100000.0,0,0,100000.0,log_norm,1e+18,100000000000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,log_norm,2.5,2.5,NaN,NaN,NaN,NaN,NaN,log_gpm_norm,10,gaussian
46,NaN,NaN,NaN,NaN,10000,1,1,log_norm,100000.0,100000.0,100000.0,0,0,100000.0,log_norm,1e+18,100000000000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,log_norm,3.0,2.5,NaN,NaN,NaN,NaN,NaN,log_gpm_norm,10,gaussian
47,NaN,NaN,NaN,NaN,10000,1,1,log_norm,100000.0,100000.0,100000.0,0,0,100000.0,log_norm,1e+18,100000000000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,log_norm,3.5,2.5,NaN,NaN,NaN,NaN,NaN,log_gpm_norm,10,gaussian
48,NaN,NaN,NaN,NaN,10000,1,1,log_norm,100000.0,100000.0,100000.0,0,0,100000.0,log_norm,1e+18,100000000000.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,log_norm,4.0,2.5,NaN,NaN,NaN,NaN,NaN,log_gpm_norm,10,gaussian
